rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,slider_start,accuracy,participant_id,ctime
3242,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,3245,0.0-0.0,NA,NA,247b7fa9-6ab4-4058-89ef-b61d15a69dc6,2024-03-13 12:22:54 CET
43142,"Please read this text: <br><br><b>Sue runs a fitness club. She’s trying to evaluate how well her new assistant, Cole, knows her clients, who are at all levels of fitness. Sue’s business partner tells her what Cole said about Jackson, who is obese:<em> ""Cole knows that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",91,html-slider-response,1,46388,0.0-1.0-0.0,50,NA,247b7fa9-6ab4-4058-89ef-b61d15a69dc6,2024-03-13 12:22:54 CET
16415,NA,"{""P0_Q0"":null,""age"":""37"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,62830,0.0-2.0,NA,[],247b7fa9-6ab4-4058-89ef-b61d15a69dc6,2024-03-13 12:22:54 CET
10818,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,10825,0.0-0.0,NA,NA,b71e5284-8c94-41ba-8d95-0291dc001873,2024-03-13 12:27:22 CET
66976,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. After consulting her assistant, Cole, who knows the teachers and the languages they speak better than she does, Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Mexico, Sue says to her business partner:<em> ""Cole doesn't know that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",87,html-slider-response,1,77813,0.0-1.0-0.0,50,NA,b71e5284-8c94-41ba-8d95-0291dc001873,2024-03-13 12:27:22 CET
23827,NA,"{""P0_Q0"":null,""age"":""60"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,101735,0.0-2.0,NA,[],b71e5284-8c94-41ba-8d95-0291dc001873,2024-03-13 12:27:22 CET
7730,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,7745,0.0-0.0,NA,NA,a2f0637e-0b89-4431-b5f6-846607d445fb,2024-03-13 12:27:47 CET
76876,"Please read this text: <br><br><b>Sue runs a fitness club. She’s trying to evaluate how well her new assistant, Cole, knows her clients, who are at all levels of fitness. Sue’s business partner tells her what Cole said about Jackson, who is training for a marathon:<em> ""Cole doesn't know that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",100,html-slider-response,1,84626,0.0-1.0-0.0,50,NA,a2f0637e-0b89-4431-b5f6-846607d445fb,2024-03-13 12:27:47 CET
21397,NA,"{""P0_Q0"":null,""age"":""50"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,106118,0.0-2.0,NA,[],a2f0637e-0b89-4431-b5f6-846607d445fb,2024-03-13 12:27:47 CET
3536,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,3561,0.0-0.0,NA,NA,1c2e7b3a-94c3-4d51-8cfa-6647853e23b4,2024-03-13 12:28:15 CET
40231,"Please read this text: <br><br><b>Sue runs a fitness club. She’s trying to evaluate how well her new assistant, Cole, knows her clients, who are at all levels of fitness. Sue’s business partner tells her what Cole said about Jackson, who is training for a marathon:<em> ""Cole knows that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",100,html-slider-response,1,43803,0.0-1.0-0.0,50,NA,1c2e7b3a-94c3-4d51-8cfa-6647853e23b4,2024-03-13 12:28:15 CET
22488,NA,"{""P0_Q0"":null,""age"":""46"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,66418,0.0-2.0,NA,[],1c2e7b3a-94c3-4d51-8cfa-6647853e23b4,2024-03-13 12:28:15 CET
